"Story","Title","Result","Date","Stability","Duration (s)"
"quiero crear un equipo","crear un equipo","ERROR","2025-12-15T19:57:32.8430657-05:00[America/Bogota]","0.0","3.63"
"quiero registrar los goles de cada jugador","registrar goles","ERROR","2025-12-15T20:40:06.4229536-05:00[America/Bogota]","0.0","8.58"
