"Story","Title","Result","Date","Stability","Duration (s)"
"como usuario de FutCol quiero autenticarme en la pagina web para luego hacer acceder a todas las funcionalidades de mi rol","Verificar la autenticacion exitosa en la pagina de FutCol","ERROR","2025-12-15T19:59:16.0107387-05:00[America/Bogota]","0.0","7.56"
"quiero crear un equipo","crear un equipo","FAILURE","2025-12-15T20:50:52.1186315-05:00[America/Bogota]","0.0","35.44"
"quiero registrar los goles de cada jugador","registrar goles","FAILURE","2025-12-15T20:51:33.326888-05:00[America/Bogota]","0.0","12.76"
"quiero crear un juez","crear un juez","FAILURE","2025-12-15T20:51:49.0099953-05:00[America/Bogota]","0.0","13.94"
"quiero crear un jugador","crear un jugador","FAILURE","2025-12-15T20:52:05.6015905-05:00[America/Bogota]","0.0","15.18"
"quiero crear una sede","crear una sede","FAILURE","2025-12-15T20:52:24.9845074-05:00[America/Bogota]","0.0","11.91"
